index,type,start,duration
1,"e",13718,612
1,"j",15017,718
1,"x",16730,3626
2,"e",21904,685
2,"j",23336,699
2,"x",25035,5118
3,"e",31656,605
3,"j",33037,949
3,"x",34974,2923
4,"e",39434,476
4,"j",40656,545
4,"x",42174,3209
5,"e",46908,350
5,"j",47968,1024
5,"x",49888,2915
6,"e",54327,608
6,"j",55631,378
6,"x",56988,4346
7,"e",62889,522
7,"j",64089,470
7,"x",65571,2334
8,"e",69445,492
8,"j",70632,462
8,"x",72047,4491
9,"e",78100,710
9,"j",79567,794
9,"x",81356,3429
10,"e",86342,616
10,"j",87712,852
10,"x",89537,3930
11,"e",94801,564
11,"j",96071,454
11,"x",97518,3807
12,"e",102913,391
12,"j",104015,2057
12,"x",107026,4251
13,"e",112790,642
13,"j",114065,824
13,"x",115847,3589
14,"e",121061,480
14,"j",122220,840
14,"x",124037,2874
15,"e",128528,515
15,"j",129776,691
15,"x",131416,3946
16,"e",136886,445
16,"j",138051,899
16,"x",139918,2047
17,"e",143527,642
17,"j",144839,2481
17,"x",148279,3825
18,"e",153645,689
18,"j",155040,1906
18,"x",157938,3263
19,"e",162710,633
19,"j",164101,795
19,"x",165845,5024
20,"e",172422,607
20,"j",173721,479
20,"x",175174,3687
21,"e",180352,547
21,"j",181654,824
21,"x",183449,4590
22,"e",189640,442
22,"j",190808,520
22,"x",192298,4194
23,"e",198031,328
23,"j",199178,1886
23,"x",202009,4570
24,"e",208097,419
24,"j",209260,398
24,"x",210645,2369
25,"e",214595,392
25,"j",215867,1278
25,"x",218109,3068
26,"e",222714,425
26,"j",224791,1434
26,"x",227199,3361
27,"e",232048,492
27,"j",233275,435
27,"x",234689,3144
28,"e",239347,418
28,"j",240517,936
28,"x",242445,4583
29,"e",248557,827
29,"j",250097,497
29,"x",251588,3645
30,"e",256855,736
30,"j",258286,849
30,"x",260095,3652
31,"e",265405,570
31,"j",266793,706
31,"x",268517,3591
32,"e",273644,549
32,"j",274900,418
32,"x",276303,2686
33,"e",280576,606
33,"j",281933,837
33,"x",283754,4758
34,"e",290117,302
34,"j",291200,1091
34,"x",293283,4457
35,"e",299275,694
35,"j",300619,1031
35,"x",302687,4951
36,"e",309164,535
36,"j",310422,423
36,"x",311834,3255
37,"e",316544,473
37,"j",317890,814
37,"x",319683,2434
38,"e",323658,585
38,"j",324968,845
38,"x",326793,2182
39,"e",330717,429
39,"j",331914,861
39,"x",333728,3881
40,"e",339161,475
40,"j",340467,2251
40,"x",343719,3669
41,"e",352110,594
41,"j",353402,1913
41,"x",356305,3573
42,"e",361409,559
42,"j",362681,483
42,"x",364156,4416
43,"e",370139,425
43,"j",371230,443
43,"x",372641,4105
44,"e",378320,564
44,"j",379618,431
44,"x",381062,3620
45,"e",386351,834
45,"j",387916,1781
45,"x",390784,2699
46,"e",394941,535
46,"j",396123,661
46,"x",397807,3559
47,"e",402875,574
47,"j",404178,564
47,"x",405776,3853
48,"e",411122,587
48,"j",412360,1783
48,"x",415094,4275
49,"e",420879,759
49,"j",422300,2203
49,"x",425442,4156
50,"e",431231,867
50,"j",432795,675
50,"x",434465,3762
51,"e",439792,571
51,"j",441118,706
51,"x",442782,3089
52,"e",447483,448
52,"j",448641,442
52,"x",450152,3730
53,"e",455536,543
53,"j",456754,570
53,"x",458327,2878
54,"e",462726,425
54,"j",463843,544
54,"x",465428,3935
55,"e",470895,610
55,"j",472199,321
55,"x",473484,4830
56,"e",479830,849
56,"j",481379,1244
56,"x",483579,4819
57,"e",489992,223
57,"j",490953,554
57,"x",492466,3801
58,"e",497802,705
58,"j",499189,462
58,"x",500618,4557
59,"e",506650,569
59,"j",507893,1961
59,"x",510885,2965
60,"e",515448,645
60,"j",516760,1962
60,"x",519697,4173
61,"e",525423,525
61,"j",526644,1870
61,"x",529555,4642
62,"e",535876,342
62,"j",536935,666
62,"x",538559,3764
63,"e",543869,431
63,"j",544981,2108
63,"x",548090,3908
64,"e",553593,780
64,"j",555206,650
64,"x",556806,3896
65,"e",562263,425
65,"j",563376,282
65,"x",564660,3666
66,"e",569990,508
66,"j",571193,595
66,"x",572748,3145
67,"e",577528,534
67,"j",578853,462
67,"x",580338,4445
68,"e",586339,388
68,"j",587524,618
68,"x",589115,3366
69,"e",594050,493
69,"j",595227,376
69,"x",596510,3917
70,"e",601949,463
70,"j",603075,606
70,"x",604643,5006
71,"e",611165,441
71,"j",612295,1045
71,"x",614329,4648
72,"e",620506,589
72,"j",621873,732
72,"x",623608,3337
73,"e",628422,734
73,"j",629784,1768
73,"x",632549,4155
74,"e",638184,665
74,"j",639520,504
74,"x",641059,3947
75,"e",646528,593
75,"j",647755,1804
75,"x",650562,4003
76,"e",656131,648
76,"j",657403,2543
76,"x",660972,4120
77,"e",666637,815
77,"j",668163,928
77,"x",670157,4979
78,"e",676739,478
78,"j",677897,482
78,"x",679377,3475
79,"e",685289,946
79,"j",687868,2104
79,"x",690989,4469
80,"e",696943,538
80,"j",698163,759
80,"x",699922,5612
81,"e",707066,506
81,"j",708246,609
81,"x",709817,4734
82,"e",716119,766
82,"j",717635,455
82,"x",719046,4052
83,"e",724633,317
83,"j",725695,766
83,"x",727428,4369
84,"e",733345,389
84,"j",734464,770
84,"x",736204,4026
85,"e",741751,571
85,"j",742990,937
85,"x",744885,3453
86,"e",749976,528
86,"j",751176,1977
86,"x",754136,4114
87,"e",759759,477
87,"j",761013,789
87,"x",762734,3919
88,"e",768156,533
88,"j",769395,3543
88,"x",773909,4294
89,"e",779803,398
89,"j",780916,1079
89,"x",782958,2646
90,"e",787132,589
90,"j",788423,754
90,"x",790182,2690
91,"e",794594,453
91,"j",795776,829
91,"x",797572,4208
92,"e",803294,670
92,"j",804715,742
92,"x",806436,3305
93,"e",811235,684
93,"j",812633,731
93,"x",814306,3407
94,"e",819309,485
94,"j",820587,934
94,"x",822483,4672
95,"e",828712,497
95,"j",829946,2223
95,"x",833129,4651
96,"e",839331,445
96,"j",840430,952
96,"x",842348,4390
97,"e",848254,371
97,"j",849389,758
97,"x",851110,3929
98,"e",856550,441
98,"j",857724,540
98,"x",859235,4154
99,"e",864931,308
99,"j",866066,646
99,"x",867711,4718
100,"e",877351,731
100,"j",878575,1648
100,"x",881172,3950
101,"e",895281,804
101,"j",896731,528
101,"x",898208,3884
102,"e",903560,843
102,"j",905061,843
102,"x",906526,878
103,"e",908385,3522
103,"j",913376,2106
103,"x",916440,3135
104,"e",921194,667
104,"j",922481,1515
104,"x",924995,4157
105,"e",930616,904
105,"j",932147,889
105,"x",933997,2278
106,"e",937752,1025
106,"j",939450,1004
106,"x",941458,3471
107,"e",946451,757
107,"j",947838,1771
107,"x",950636,2879
108,"e",954988,765
108,"j",956373,441
108,"x",957862,3316
109,"e",962639,725
109,"j",964017,747
109,"x",965739,3788
110,"e",971030,577
110,"j",972284,742
110,"x",974026,4616
111,"e",980124,858
111,"j",981624,589
111,"x",982816,492
112,"e",984261,4391
112,"j",990160,1900
112,"x",993041,3187
113,"e",997699,525
113,"j",998965,2118
113,"x",1002025,3687
114,"e",1007139,751
114,"j",1008545,915
114,"x",1010407,3831
115,"e",1015756,673
115,"j",1017094,612
115,"x",1018705,3583
116,"e",1023785,696
116,"j",1025114,768
116,"x",1026891,3361
117,"e",1031732,572
117,"j",1032946,883
117,"x",1034855,3335
118,"e",1039675,743
118,"j",1041047,861
118,"x",1042866,3409
119,"e",1047732,942
119,"j",1049332,875
119,"x",1051148,4588
120,"e",1057274,885
120,"j",1058801,872
120,"x",1060636,3591
121,"e",1065714,838
121,"j",1067192,433
121,"x",1068603,3698
122,"e",1073797,800
122,"j",1074697,1300
122,"x",1076676,4277
123,"e",1082609,757
123,"j",1084004,1712
123,"x",1086718,3100
124,"e",1091300,897
124,"j",1092838,855
124,"x",1094639,3841
125,"e",1100049,320
125,"j",1101112,630
125,"x",1102694,3167
126,"e",1107582,490
126,"j",1108770,893
126,"x",1111144,3712
127,"e",1116323,743
127,"j",1117694,1936
127,"x",1120626,4422
128,"e",1126570,768
128,"j",1127964,852
128,"x",1129775,4314
129,"e",1135696,952
129,"j",1137346,1553
129,"x",1139893,5509
130,"e",1146907,801
130,"j",1148359,412
130,"x",1149771,4601
131,"e",1155945,564
131,"j",1157305,960
131,"x",1159216,4524
132,"e",1164969,736
132,"j",1166324,471
132,"x",1167764,5082
133,"e",1174291,571
133,"j",1175695,891
133,"x",1177541,4718
134,"e",1183757,648
134,"j",1185112,513
134,"x",1186571,2857
135,"e",1191030,364
135,"j",1192229,513
135,"x",1193713,4818
136,"e",1200052,812
136,"j",1201488,857
136,"x",1203306,3396
137,"e",1208217,542
137,"j",1209520,742
137,"x",1211270,4255
138,"e",1217010,674
138,"j",1218350,559
138,"x",1219882,4392
139,"e",1225777,836
139,"j",1227232,1399
139,"x",1229590,2483
140,"e",1233650,563
140,"j",1234882,891
140,"x",1236768,3185
141,"e",1244668,959
141,"j",1246269,383
141,"x",1247634,4744
142,"e",1253917,425
142,"j",1255126,1713
142,"x",1257876,3471
143,"e",1262807,860
143,"j",1264383,694
143,"x",1266056,5193
144,"e",1272787,841
144,"j",1274283,1920
144,"x",1277210,5193
145,"e",1283850,858
145,"j",1285325,2281
145,"x",1288592,4181
146,"e",1294276,707
146,"j",1295638,1838
146,"x",1298462,3212
147,"e",1303134,600
147,"j",1304416,668
147,"x",1306065,4425
148,"e",1311989,549
148,"j",1313201,632
148,"x",1314812,3517
149,"e",1319794,726
149,"j",1321144,487
149,"x",1322607,4157
150,"e",1328333,569
150,"j",1329598,505
150,"x",1331070,4045
151,"e",1336660,565
151,"j",1337906,696
151,"x",1339575,3408
152,"e",1344448,629
152,"j",1345715,1953
152,"x",1348640,3248
153,"e",1353334,822
153,"j",1354861,2065
153,"x",1357900,3651
154,"e",1363085,693
154,"j",1364451,589
154,"x",1366019,2849
155,"e",1370353,683
155,"j",1371666,883
155,"x",1373597,4159
156,"e",1379249,712
156,"j",1380610,452
156,"x",1382030,3671
157,"e",1387255,796
157,"j",1388723,1759
157,"x",1391490,4198
158,"e",1397153,952
158,"j",1398735,511
158,"x",1400201,5725
159,"e",1407534,646
159,"j",1408832,140
159,"x",1409933,4872
160,"e",1416343,715
160,"j",1417722,1949
160,"x",1420652,2932
161,"e",1425061,552
161,"j",1426392,769
161,"x",1428119,5006
162,"e",1434694,677
162,"j",1436024,653
162,"x",1437710,3469
163,"e",1442666,823
163,"j",1444139,412
163,"x",1445609,4712
164,"e",1451862,718
164,"j",1453223,497
164,"x",1454681,3059
165,"e",1459194,767
165,"j",1460620,398
165,"x",1461931,4940
166,"e",1468436,751
166,"j",1469835,3857
166,"x",1474628,4795
167,"e",1481012,600
167,"j",1481812,1406
167,"x",1483926,4160
168,"e",1489762,666
168,"j",1491065,475
168,"x",1492517,4717
169,"e",1498709,689
169,"j",1500080,1713
169,"x",1502783,3753
170,"e",1507989,597
170,"j",1509271,1923
170,"x",1512163,5073
171,"e",1518690,631
171,"j",1519988,747
171,"x",1521791,5028
172,"e",1528338,748
172,"j",1529738,411
172,"x",1531131,3906
173,"e",1536548,466
173,"j",1537656,1434
173,"x",1540071,3708
174,"e",1545270,489
174,"j",1546437,917
174,"x",1548255,4379
175,"e",1554158,736
175,"j",1555570,658
175,"x",1557205,4070
176,"e",1562774,490
176,"j",1563729,1926
176,"x",1566527,4108
177,"e",1572146,386
177,"j",1573342,1794
177,"x",1576125,4461
178,"e",1582045,828
178,"j",1583045,2928
178,"x",1586928,3913
179,"e",1595840,739
179,"j",1597261,1012
179,"x",1599239,3345
180,"e",1604047,682
180,"j",1605467,838
180,"x",1607255,3792
181,"e",1612534,740
181,"j",1613978,721
181,"x",1615668,2788
182,"e",1620025,443
182,"j",1621175,738
182,"x",1622883,3438
183,"e",1627777,655
183,"j",1629141,742
183,"x",1630877,3545
184,"e",1636090,646
184,"j",1637523,742
184,"x",1639230,2613
185,"e",1643487,1032
185,"j",1645254,2134
185,"x",1648366,4690
186,"e",1654561,865
186,"j",1656091,1283
186,"x",1658478,2361
187,"e",1662315,801
187,"j",1663759,727
187,"x",1665512,3047
188,"e",1670082,797
188,"j",1671545,2519
188,"x",1675031,2994
189,"e",1679572,653
189,"j",1681028,762
189,"x",1682760,4184
190,"e",1688424,677
190,"j",1689745,1737
190,"x",1692460,3852
191,"e",1697793,406
191,"j",1698981,738
191,"x",1700656,4091
192,"e",1706241,800
192,"j",1707728,1059
192,"x",1709742,3638
193,"e",1714849,717
193,"j",1716230,1068
193,"x",1718248,3488
194,"e",1723204,626
194,"j",1724458,1331
194,"x",1726756,4095
195,"e",1732323,771
195,"j",1733734,1404
195,"x",1736114,4632
196,"e",1742232,710
196,"j",1743623,2288
196,"x",1746910,3591
197,"e",1752068,554
197,"j",1753370,723
197,"x",1755060,5214
198,"e",1761897,699
198,"j",1763251,2096
198,"x",1766341,3348
199,"e",1771159,938
199,"j",1772762,765
199,"x",1774500,4421
200,"e",1783712,948
200,"j",1785323,2129
200,"x",1788458,4838
201,"e",1803334,864
201,"j",1804906,846
201,"x",1806673,3759
202,"e",1811996,633
202,"j",1813411,562
202,"x",1814955,3409
203,"e",1819926,470
203,"j",1821168,810
203,"x",1822944,5031
204,"e",1829307,851
204,"j",1830765,1310
204,"x",1833042,4113
205,"e",1838657,557
205,"j",1839937,869
205,"x",1841756,4596
206,"e",1847843,676
206,"j",1849186,542
206,"x",1850703,4255
207,"e",1856514,589
207,"j",1857771,706
207,"x",1859457,5218
208,"e",1866294,717
208,"j",1867671,867
208,"x",1869510,4221
209,"e",1875236,382
209,"j",1876361,873
209,"x",1878221,4623
210,"e",1884401,384
210,"j",1885574,3166
210,"x",1889720,4434
211,"e",1895685,680
211,"j",1897053,1632
211,"x",1899651,4560
212,"e",1905719,700
212,"j",1906905,2004
212,"x",1909855,4322
213,"e",1915747,363
213,"j",1916878,848
213,"x",1918692,5008
214,"e",1925194,351
214,"j",1926227,438
214,"x",1927684,3545
215,"e",1932822,483
215,"j",1934054,997
215,"x",1936056,4805
216,"e",1942477,316
216,"j",1943491,2282
216,"x",1946729,3351
217,"e",1951571,324
217,"j",1952687,807
217,"x",1954445,5411
218,"e",1961299,565
218,"j",1962600,496
218,"x",1964063,3745
219,"e",1969370,515
219,"j",1970626,965
219,"x",1972592,5187
220,"e",1979383,467
220,"j",1980637,910
220,"x",1982518,3473
221,"e",1987562,505
221,"j",1988893,829
221,"x",1990759,4200
222,"e",1996443,480
222,"j",1997744,682
222,"x",1999378,4545
223,"e",2005463,811
223,"j",2006883,863
223,"x",2008702,4218
224,"e",2014392,574
224,"j",2015656,577
224,"x",2017142,4510
225,"e",2023179,617
225,"j",2024472,248
225,"x",2025695,4241
226,"e",2031437,617
226,"j",2032702,685
226,"x",2034357,5946
227,"e",2041830,426
227,"j",2043054,872
227,"x",2044909,4811
228,"e",2051274,548
228,"j",2052558,2448
228,"x",2056015,3701
229,"e",2061236,793
229,"j",2062696,843
229,"x",2064500,4095
230,"e",2070157,600
230,"j",2071467,514
230,"x",2072987,4841
231,"e",2079417,778
231,"j",2080937,826
231,"x",2082746,4901
232,"e",2089338,326
232,"j",2090381,484
232,"x",2091873,3369
233,"e",2096738,341
233,"j",2097785,1657
233,"x",2100426,2451
234,"e",2104440,578
234,"j",2105782,704
234,"x",2107481,4645
235,"e",2113697,519
235,"j",2114904,1325
235,"x",2117188,4237
236,"e",2122918,592
236,"j",2124219,1506
236,"x",2126398,722
237,"e",2128092,4667
237,"j",2134265,694
237,"x",2135642,542
238,"e",2137228,2635
238,"j",2141402,2511
238,"x",2144869,4828
239,"e",2151178,668
239,"j",2152537,907
239,"x",2154413,4659
240,"e",2160598,609
240,"j",2161993,837
240,"x",2163781,4195
241,"e",2172843,547
241,"j",2174104,512
241,"x",2175633,6168
242,"e",2183409,432
242,"j",2184539,1968
242,"x",2187564,4629
243,"e",2193795,602
243,"j",2195089,1532
243,"x",2197479,4771
244,"e",2203822,602
244,"j",2205079,551
244,"x",2206654,4511
245,"e",2212799,649
245,"j",2214159,675
245,"x",2215766,4494
246,"e",2221844,653
246,"j",2223038,662
246,"x",2224647,3514
247,"e",2229813,356
247,"j",2230864,1640
247,"x",2233477,3096
248,"e",2238114,398
248,"j",2239221,799
248,"x",2240975,3774
249,"e",2246274,539
249,"j",2247506,1736
249,"x",2250221,4242
250,"e",2256081,575
250,"j",2257365,344
250,"x",2258729,3478
251,"e",2263811,588
251,"j",2264811,2280
251,"x",2268079,4469
252,"e",2274066,623
252,"j",2275383,536
252,"x",2276899,3919
253,"e",2282334,312
253,"j",2283437,651
253,"x",2285033,3639
254,"e",2290183,385
254,"j",2291319,1677
254,"x",2293960,3245
255,"e",2298872,406
255,"j",2300050,513
255,"x",2301572,4604
256,"e",2307714,653
256,"j",2309065,308
256,"x",2310393,5080
257,"e",2316973,436
257,"j",2318143,2687
257,"x",2321871,4313
258,"e",2327741,572
258,"j",2329019,707
258,"x",2330708,3624
259,"e",2335968,536
259,"j",2336768,1036
259,"x",2338549,5607
260,"e",2345737,530
260,"j",2346847,1559
260,"x",2349412,5463
261,"e",2356446,489
261,"j",2357734,592
261,"x",2359350,4675
262,"e",2365609,524
262,"j",2366838,580
262,"x",2368409,4415
263,"e",2374394,569
